Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;,
east_indies;East Indies;;;;;;;;;;;;;,
WRI;Urhobo;Warri;Warri;;Warri;;;;;;;;
WRI_ADJ;Urhobi;Warri;Warri;;;;;;;;;;
DAH;Abomey;;;;;;;;;;;;
DAH_ADJ;Abomian;;;;;;;;;;;;
DAH_absolute_monarchy;Abomey;;;;;;;;;;;;
DAH_absolute_monarchy_ADJ;Abomean;;;;;;;;;;;;
DAH_prussian_constitutionalism;Abomey;;;;;;;;;;;;
PROV3395;Ayetoro;;;;;;;;;;;;
PROV3394;Dasso;;;;;;;;;;;;
PROV3361;Auchi;;;;;;;;;;;;
PROV3358;Pategi;;;;;;;;;;;;
PROV3287;Ibudo Eru;;;;;;;;;;;;
PROV1742;Igboho;;;;;;;;;;;;
PROV1936;Gboko;;;;;;;;;;;;
PROV2690;Nsukka;;;;;;;;;;;;
PROV608;Lokoja;Neuchatel;Neuchatel;;Neuchatel;;;;;;;;
PROV912;Oyo;Baalbeck;Baalbek;;Baalbeck;;;;;;;;;
PROV1924;Apata;Abeokuta;Abeokuta;;Abeokuta;;;;;;;;;
PROV3564;Kanairo Yama;x
PROV3565;Anzen Minato;x
PROV3566;Maria no Shinden;x
PROV3567;Nishibe Oka;x
PROV3568;Hitoku na Hirano;x
PROV3569;Norowa Takami;x
PROV3570;Takayama no Kuni;x
PROV3571;Tampilisan;x
PROV3572;Acque Dorate;x
PROV3573;Marawi;x
PROV3574;Maitum;x
PROV3575;Padigos;x
PROV3576;Malaybalay;x
PROV3577;Correre Fiume;x
PROV3578;Casa dei Corregiosi;x
PROV3580;Ranau;x
PROV3584;Kudat;x
PROV3579;Tongod;x
PROV1397;Kinabatagan;x
PROV3582;Semporna;x
PROV3581;Lahad Datu;x
PROV3583;Kelabit;x
sokoto;Yabo;;;;;;;;;;;;
kano;Kano;;;;;;;;;;;;
zinder;Zinder;;;;;;;;;;;;
PROV2355;Ayetoro;;;;;;;;;;;;
PROV2354;Raival;;;;;;;;;;;;
PROV2352;Seigneulles;;;;;;;;;;;;
PROVV2351;Nant;;;;;;;;;;;;
PROV2348;Carpentier;;;;;;;;;;;;
PROV2349;Revens;;;;;;;;;;;;
PROV2350;Millau;;;;;;;;;;;;
PROV2360;Saint Maurice;;;;;;;;;;;;
PROV2363;Chapelet;;;;;;;;;;;;
PROV2359;Labrit;;;;;;;;;;;;
PROV2345;Mimizan;;;;;;;;;;;;
PROV2346;Tartas;;;;;;;;;;;;
PROV2357;Royan;;;;;;;;;;;;
PROV2358;Rochefort;;;;;;;;;;;;
PROV2554;Aytre;;;;;;;;;;;;
PROV2464;Saint Xandre;;;;;;;;;;;;
PROV2465;Les Minimes;;;;;;;;;;;;
PROV2463;Nouvelle Orleans;;;;;;;;;;;;
PROV2461;Périgny;;;;;;;;;;;;
PROV2466;Forges;;;;;;;;;;;;
PROV2465;Saint Vivien;;;;;;;;;;;;
PROV2462;Fumel;;;;;;;;;;;;
PROV2459;Agen;;;;;;;;;;;;
PROV2359;Boé;;;;;;;;;;;;
PROV2457;Captieux;;;;;;;;;;;;
PROV2455;Thivier;;;;;;;;;;;;
PROV2451;Olivet;;;;;;;;;;;;
PROV2447;Celinnes;;;;;;;;;;;;
PROV2353;Gridy;;;;;;;;;;;;
PROV2356;Toussaint;;;;;;;;;;;;
PROV2362;Roselinnes;;;;;;;;;;;;
PROV2381;Ligny;;;;;;;;;;;;
PROV2380;Baule;;;;;;;;;;;;
PROV2465;Sougy;;;;;;;;;;;;
PROV800;Psori Nbir;;;;;;;;;;;;
PROV2306;Dulich;;;;;;;;;;;;
PROV2421;Cameron;;;;;;;;;;;;
PROV2422;Morton;;;;;;;;;;;;
PROV2423;Somerville;;;;;;;;;;;;
PROV2424;Osborne;;;;;;;;;;;;
PROV2425;Wharton;;;;;;;;;;;;
PROV2426;Port Maise;;;;;;;;;;;;
PROV2427;Alasdair;;;;;;;;;;;;
PROV2428;Calderhead;;;;;;;;;;;;
PROV2429;New Dumfries;;;;;;;;;;;;
PROV2430;Crosby;;;;;;;;;;;;
PROV2431;Naughton;;;;;;;;;;;;
PROV2432;Allardice;;;;;;;;;;;;
PROV2433;Eilidh;;;;;;;;;;;;
PROV2434;Gobharan;;;;;;;;;;;;
PROV2435;Crannew;;;;;;;;;;;;
PROV2436;Calumburgh;;;;;;;;;;;;
PROV2437;Sorley;;;;;;;;;;;;
PROV2438;Blairville;;;;;;;;;;;;
PROV2439;Port Eoghann;;;;;;;;;;;;
PROV2440;Tirsinns;;;;;;;;;;;;
PROV2441;Dunkeld;;;;;;;;;;;;
PROV2442;Hugh;;;;;;;;;;;;
PROV2443;Maction;;;;;;;;;;;;
PROV2444;Gillander;;;;;;;;;;;;
PROV2445;Loch Duin;;;;;;;;;;;;
PROV2446;Carswell;;;;;;;;;;;;
PROV2448;Darrow Bay;;;;;;;;;;;;
PROV2449;Muireall;;;;;;;;;;;;
PROV2450;Lac Fleur;;;;;;;;;;;;
PROV2452;Camphor;;;;;;;;;;;;
PROV2453;Sanderstoun;;;;;;;;;;;;
PROV2456;Allenille;;;;;;;;;;;
PROV2458;Pitcairn;;;;;;;;;;;;
PROV2460;Himelin;;;;;;;;;;;;
PROV3443;Corin;;;;;;;;;;;;
PROV3444;Wardlaw;;;;;;;;;;;;
PROV3445;Selkirk;;;;;;;;;;;;
PROV3446;Macrorie;;;;;;;;;;;;
PROV3482;Archibald Menzies;;;;;;;;;;;;
PROV3603;Ralston;;;;;;;;;;;;
PROV3604;Verpilleux;;;;;;;;;;;;
PROV3605;Dallis;;;;;;;;;;;;
PROV3606;Graham;;;;;;;;;;;;
PROV3607;Lamont;;;;;;;;;;;;
PROV3608;Murdo;;;;;;;;;;;;
PROV3609;Archambeau;;;;;;;;;;;;
ARC_2466;Liberie;;;;;;;;;;;;
PROV1884;Staalbaai;;;;;;;;;;;;
PROV1887;Batavia;;;;;;;;;;;;
PROV1888;Holwarden;;;;;;;;;;;;
USA_218;Virginie;;;;;;;;;;;;
USA_190;Appalaches;;;;;;;;;;;;
USA_225;Prudhomme;;;;;;;;;;;;
PROV3041;Antartidan Rise;;;;;;;;;;;;
