Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;,
international_technical_association;International Technical Association;;;;;;;;;;;;;,
syneisfora;Syneisfora;;;;;;;;;;;;;,
egypt_tech_school;ITA and Syntechnia;;;;;;;;;;;;;
archigos_quarter;Syntechnia Archigos;;;;;;;;;;;;;,
fellah_system;Reformed Fellah System;;;;;;;;;;;;;,
sursock_brothers_modifier;Sursock and Brothers;;;;;;;;;;;;;,
anaptyxi_modifier;Anaptyxi;;;;;;;;;;;;;,
anaptyxi_modifier_city;Anaptyxi;;;;;;;;;;;;;,
cop_desmevmenos_modifier;Desmevménos;;;;;;;;;;;;;,
cop_epektasi_modifier;Epéktasi;;;;;;;;;;;;;,
advancement_of_government;Proóthisi tis Kyvérnisis;;;;;;;;;;;;;,
cop_ita_NAME;Khaamic International Technical Association;;;;;;;;;;;;;,
cop_ita_DESC;The government sponsored many diplomatic missions to seek out technical expertise throughout Europe during the 1840's, which involved university visits and diplomatic manoeuvres to gain approval from the great powers. However, they have all made it clear that they want to be the sole power to assist Khemet in it's modernisation, and that any hint of collaboration with other major powers would see their government recall all technicians from Khemet. The question remains, who do we approach for assistance.;;;;;;;;;;;;;,
egy_ita_title;Khaamic International Technical Association.;;;;;;;;;;;;;,
egy_ita_desc;Founded in 1843, the Association was a government sponsored initiative to attract modern talent to the rapidly modernising state. Not only did many Egyptians seek education elsewhere, such as Ali Mubarak, philosophers, technicians and doctors came to the country as well, funded by the government, with aims of modernising the state. However, the great powers took this opportunity to slightly increase their influence in the area.;;;;;;;;;;;;;,
establish_the_syneisfora_title;Establish the Syneisfora;;;;;;;;;;;;;,
establish_the_syneisfora_desc;Military duty in Khemet was usually based on levies by the monarch, who has grown weaker as the adoption of western government has done away with absolutist rule. This was changed with the Syneisfora decree of 1856, which established a 12 month  conscription obligation to all males between 15 and 50. While unpopular among those who were forced to serve, it would prove incredibly effective in the coming Nubian wars.;;;;;;;;;;;;;,
nile_irrigation_title;Irrigation of the Nile;;;;;;;;;;;;;,
nile_irrigation_desc;In order to secure a boost in revenue, The king tasked the ITA with bringing traditional farming up to speed with the west. With the recent acquisition of coalfields in Lebanon, the transition from oxen to steam power could begin. Land was redistributed and the fellah system was tweaked so that farmers had the option to pay 1/3 less tax if it was provided in the form of cash crops like sugar and cotton. Within ten years, the standard of living for the average farmer increased twofold, although the impact of this was reduced slightly by inflation, and Khemet rose to become the worlds 3rd largest exporter of cotton and 6th largest exporter of textiles.;;;;;;;;;;;;;,
ita_charter_title;Alexandria Charter of 1856;;;;;;;;;;;;;,
ita_charter_desc;The ITA not only brought technical competence to the Nile, it also applied this knowledge practically. Government sponsored Industrialisation began in the 1840's but this was extremely slow, expensive and ironically couldn't compete with the vast labour pool of Cairo and Alexandria. This is why the ITA was granted a 5 year charter for a small quarter in Alexandria's harbour, utilising government investment to construct A shipyard, steel mill and a textile factory. Local residents who previously made a living from crafts and weaves were forced into the factories or enticed with promises of riches, but the success of Alexandria's industrial sector effectively killed small business in the city, shifting the sector towards Cairo, which many local artisans immigrated to.;;;;;;;;;;;;;,
founding_syntechnia_title;Found Syntechnia Archigos;;;;;;;;;;;;;,
founding_syntechnia_desc;As Khemet opened up to western markets under the supervision of the ITA, many Greek merchants began to take advantage of the growing technical sector. After the 1856 charter, the factory owners gradually became wealthy enough to outright purchase the factories from the ITA, which didn't really want them at that point as their focus was on R&D. Inspired by the companies of the west, the factory owners, called archigos, formed Syntechnia, with a focus on construction and heavy machinery. They purchased their own charter in Alexandria and soon became Khemet's number one employer after the crown itself. Their sheer size and wide labour pool eventually paved the way for Khaamic economic dominance in the Eastern Mediterranean.;;;;;;;;;;;;;,
avenge_the_betrayal_title;Avenge the Betrayal;;;;;;;;;;;;;,
avenge_the_betrayal_desc;Centuries ago, we were promised spoils and land in the levant as rewards for fighting agains the Muslim horde, and instead we were left with a rump state on the nile while the Italians and French gobbled up coastal cities for themselves. Even then their efforts were useless as a mere 40 years later Khemet fell again and had to liberate itself painfully alone for nearly a century.  Venetian domination of the Mediterranean appears to have reached its zenith and any moment now they should begin to decline. We should seek to be the catalyst for that and further our assertion of dominance over the Levant.;;;;;;;;;;;;;,
the_great_proclamation_title;The Great Proclamation;;;;;;;;;;;;;,
the_great_proclamation_desc;As the only independent and powerful Christian state in the Middle East, we are expected by the rest of the Orthodox world to protect our subjects, and liberate them from any mistreatment by the Muslim powers.;;;;;;;;;;;;;,
sursock_and_brothers_title;Sursock and Brothers;;;;;;;;;;;;;,
sursock_and_brothers_desc;Originating from Beirut, the Greek Sursocks amassed great wealth from the Oriental trade and taxing the most fertile of lands in the Levant. This makes them key to the governments plans of developing the region. By "suggesting" that they donate their properties to the government, only to then run them as state-backed administrators, we can assure that their wealth is not misplaced. Their most prominent firm, Sursock and Brothers, has key assets in Beirut, as well as expertise in Banking, will serve well in the hands of the ITA.;;;;;;;;;;;;;,
the_anaptyxi_title;The Anaptyxi;;;;;;;;;;;;;,
the_anaptyxi_desc;Many factors contributed to the sudden and massive growth seen in Levantine cities during the second half of the 19th century, with heavy investment from both the ITA, Sursock family and many European entrepreneurs, as well as containing natural resources that Khemet coveted so dearly, but the creation of the Beirut Shipping Company solidified 10 years of economic growth that saw the regions economy quadruple in size.;;;;;;;;;;;;;,
pharaonism_title;Embrace Pharaonism;;;;;;;;;;;;;,
pharaonism_desc;The increasing pressure put on Khemet from both Western and Eastern powers has caused a revival of interest into Khemet's past. Both Arabs and Greeks alike are slowly beginning to form national identities, one that revolves around the Nile. Pharaonists look towards the great architectural wonders of the past such as the Great Pyramids as examples of the exemplary Egyptian identity. Ignoring the abundance of slavery and tyrrany, this movement does help to bolster the divided nation, and adopting a much more Egyptian theme to the government would increase its popularity.;;;;;;;;;;;;;,
hellenic_cradle_title;Hellenic Cradle;;;;;;;;;;;;;,
hellenic_cradle_desc;Greek influence in Khemet stems from the era of Alexander, and has persisted to the point where up until recently they practically ruled the Nile alone. This has resulted in a persistent Hellenic culture that draws jealousy from Greeks across the Mediterranean. As a result Alexandria appears to be the centre of the Greek world, not Athens, and must take the burden of uniting the Mesogeiakós.;;;;;;;;;;;;;,
organic_law_title;The Organic Law;;;;;;;;;;;;;,
