Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;,
PROV3295;Tarutung;;;;;;;;;;;;;,
PROV1425;Padangsidempuan;;;;;;;;;;;;;,
PROV10;Bonjol;;;;;;;;;;;;;,
PROV1429;Tarakan;;;;;;;;;;;;;,
PROV3276;Tanjung Redub;;;;;;;;;;;;;,
PROV1424;Kutai;;;;;;;;;;;;;,
PROV1452;Bacan;;;;;;;;;;;;;,
PROV1447;Ternate;;;;;;;;;;;;;,
PROV1448;Jilolo;;;;;;;;;;;;;,
PROV2647;Tidore;;;;;;;;;;;;;,
PROV1450;Seram;;;;;;;;;;;;;,
PROV1449;Ambon;;;;;;;;;;;;;,
PROV1432;Mamoedjoe;;;;;;;;;;;;;,
PROV1387;Kuala Selangor;;;;;;;;;;;;;,
PROV1388;Sening Ujong;;;;;;;;;;;;;,
SAK_10;West Sumatra;;;;;;;;;;;;
RIA_3295;North Sumatra;;;;;;;;;;;;
ATJ_3295;Aceh;;;;;;;;;;;;
