Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;,
ASA;Echizen;;;;;;;;;;;;
ASA_ADJ;Asakura;;;;;;;;;;;;
UTS;Musashi;;;;;;;;;;;;
UTS_ADJ;Honda;;;;;;;;;;;;
FUK;Aizu;;;;;;;;;;;;
FUK_ADJ;Ashina;;;;;;;;;;;;
TAK;Shinano;;;;;;;;;;;;
TAK_ADJ;Takeda;;;;;;;;;;;;
KAG;Kaga;;;;;;;;;;;;
KAG_peasant_republic;Kanagawa-ikki;;;;;;;;;;;;
KAG_ADJ;Kaga;;;;;;;;;;;;
SEN;Sendai;;;;;;;;;;;;
SEN_ADJ;Date;;;;;;;;;;;;
AIN;Ainu Mosir;;;;;;;;;;;;
AIN_ADJ;Ainu;;;;;;;;;;;;
AIN_daimyo;Morioka;;;;;;;;;;;;
AIN_daimyo_ADJ;Go-Abe;;;;;;;;;;;;
SAT;Kingdom of Kyushu;;;;;;;;;;;;
SAT_ADJ;Kyushu;;;;;;;;;;;;
SAT_daimyo;Satsuma;;;;;;;;;;;;
SAT_daimyo_ADJ_Satsuma-Kyogoku;;;;;;;;;;;;;
SWK;Kalimantan Syarikat;;;;;;;;;;;;;,
SWK_ADJ;Bornean;;;;;;;;;;;;;,
SWK_absolute_empire;Empire of Pon-i;;;;;;;;;;;;;,
SWK_semi_constitutional_empire;Empire of Pon-i;;;;;;;;;;;;;,
SWK_constitutional_empire;Empire of Pon-i;;;;;;;;;;;;;,

