Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish
provencial;Provencial;;;;;;;;;;;;
donau_saxon;Donau Sachsen;;;;;;;;;;;;
DAN;MÃ¼ndungsland;;;;;;;;;;;;
DAN_ADJ;Saxon;;;;;;;;;;;;
UOW;Union of Westminster;;;;;;;;;;;;
UOW_ADJ;English;;;;;;;;;;;;
SAI;Sainantan;;;;;;;;;;;;
SAI_ADJ;Nanpo no;;;;;;;;;;;;
MRB;Marabitanas;;;;;;;;;;;;
MRB_ADJ;Marabine;;;;;;;;;;;;
ALM;Altamira;;;;;;;;;;;;
ALM_ADJ;Altamir;;;;;;;;;;;;
RAB;Rabinas;;;;;;;;;;;;
RAB_ADJ;Rabi;;;;;;;;;;;;
IGU;Iguatemi;;;;;;;;;;;;
IGU_ADJ;Igua;;;;;;;;;;;;
RIB;Riberalta;;;;;;;;;;;;
RIB_ADJ;Riber;;;;;;;;;;;;
NAK;Nord Afrika Kompanie;;;;;;;;;;;;
NAK_ADJ;German;;;;;;;;;;;;
UCO;Koptiko Sater;;;;;;;;;;;;
UCO_ADJ;Koptiko Sater;;;;;;;;;;;;
GNA;Granada;;;;;;;;;;;;
GNA_ADJ;Granad;;;;;;;;;;;;
AND;Andalusia;;;;;;;;;;;;
AND_ADJ;Andalus;;;;;;;;;;;;
SEV;Sevilla;;;;;;;;;;;;
SEV_ADJ;Seville;;;;;;;;;;;;
FEZ;Fez;;;;;;;;;;;;
FEZ_ADJ;Fezzan;;;;;;;;;;;;
TLE;Tlemcen;;;;;;;;;;;;
TLE_ADJ;Tlemcen;;;;;;;;;;;;
MRR;Marrakesh;;;;;;;;;;;;
MRR_ADJ;Marrakeshan;;;;;;;;;;;;
ALE;Allemania;;;;;;;;;;;;
ALE_ADJ;Allemanic;;;;;;;;;;;;
burgundian;Burgundian;;;;;;;;;;;;
miskito;Miskito;;;;;;;;;;;;
ngabe;Ngabe;;;;;;;;;;;;
NIF;Federazione Italica del Nord;;;;;;;;;;;;
NIF_ADJ;North Italian;;;;;;;;;;;;
hugenott;Hugenott;;;;;;;;;;;;
khazar;Khazar;;;;;;;;;;;;
kirishitan;Kirishitan;;;;;;;;;;;;
buyeo;Buyeo;;;;;;;;;;;;
pirate_republic;Pirate Republic;;;;;;;;;;;;
GEK_liberal;Kolonisten Feestje;;;;;;;;;;;;
GEK_radical;Radicale Partij;;;;;;;;;;;;
GEK_liberal_2;Ons Vrije Land;;;;;;;;;;;;
GEK_conservative;Conservatieve Partij;;;;;;;;;;;;
GEK_reactionary;Beweging Voor Verzoening;;;;;;;;;;;;
GEK_socialist;Beweging Voor Inheemse Rechten;;;;;;;;;;;;
GEK_communist;Communistische Partij;;;;;;;;;;;;
GEK_fascist;Nationalistische Partij;;;;;;;;;;;;
VEL_liberal;De Vergevingsgezind;;;;;;;;;;;;
VEL_radical;Nationale Verzoening;;;;;;;;;;;;
VEL_conservative;Nationale Partij;;;;;;;;;;;;
VEL_reactionary;Nationaal Bevrijdingsfront;;;;;;;;;;;;
VEL_socialist;Partij van Socialistische Eenheid;;;;;;;;;;;;
VEL_communist;Arbeiderspartij;;;;;;;;;;;;
VEL_fascist;Fascistische Partij Veldlewer;;;;;;;;;;;;
AKI_liberal;Partei der Kaufleute;;;;;;;;;;;;
AKI_liberal_2;Republikaner;;;;;;;;;;;;
AKI_radical;Freiland Liberale;;;;;;;;;;;;
AKI_conservative;Konservative Partei;;;;;;;;;;;;
AKI_reactionary;Wahre Republikaner;;;;;;;;;;;;
AKI_socialist;Akino Sozialisten;;;;;;;;;;;;
AKI_communist;Kommunistische Partei von Akino;;;;;;;;;;;;
AKI_fascist;Deutsche Pride-Partei;;;;;;;;;;;;
FRZ;França;;;;;;;;;;;;
FRZ_ADJ;Francés;;;;;;;;;;;;
PIR_liberal;Consiglio dei Bucanieri;;;;;;;;;;;;
PIR_liberal_2;Fazione Abolizionista;;;;;;;;;;;;
PIR_radical;Uomini Liberi;;;;;;;;;;;;
PIR_conservative;Uomini della Filibusta;;;;;;;;;;;;
PIR_reactionary;Fazione Corsara;;;;;;;;;;;;
PIR_socialist;Partito Libero Pirata;;;;;;;;;;;;
PIR_communist;Fazione dei Pirati Comunisti;;;;;;;;;;;;
PIR_fascist;Fazione Fascista;;;;;;;;;;;;
