Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;,
east_indies;East Indies;;;;;;;;;;;;;,
WRI;Urhobo;Warri;Warri;;Warri;;;;;;;;
WRI_ADJ;Urhobi;Warri;Warri;;;;;;;;;;
DAH;Abomey;;;;;;;;;;;;
DAH_ADJ;Abomian;;;;;;;;;;;;
DAH_absolute_monarchy;Abomey;;;;;;;;;;;;
DAH_absolute_monarchy_ADJ;Abomean;;;;;;;;;;;;
DAH_prussian_constitutionalism;Abomey;;;;;;;;;;;;
PROV3395;Ayetoro;;;;;;;;;;;;
PROV3394;Dasso;;;;;;;;;;;;
PROV3361;Auchi;;;;;;;;;;;;
PROV3358;Pategi;;;;;;;;;;;;
PROV3287;Ibudo Eru;;;;;;;;;;;;
PROV1742;Igboho;;;;;;;;;;;;
PROV1936;Gboko;;;;;;;;;;;;
PROV2690;Nsukka;;;;;;;;;;;;
PROV608;Lokoja;Neuchatel;Neuchatel;;Neuchatel;;;;;;;;
PROV912;Oyo;Baalbeck;Baalbek;;Baalbeck;;;;;;;;;
PROV1924;Apata;Abeokuta;Abeokuta;;Abeokuta;;;;;;;;;
PROV3564;Kanairo Yama;x
PROV3565;Anzen Minato;x
PROV3566;Maria no Shinden;x
PROV3567;Nishibe Oka;x
PROV3568;Hitoku na Hirano;x
PROV3569;Norowa Takami;x
PROV3570;Takayama no Kuni;x
PROV3571;Tampilisan;x
PROV3572;Acque Dorate;x
PROV3573;Marawi;x
PROV3574;Maitum;x
PROV3575;Padigos;x
PROV3576;Malaybalay;x
PROV3577;Correre Fiume;x
PROV3578;Casa dei Corregiosi;x
PROV3580;Ranau;x
PROV3584;Kudat;x
PROV3579;Tongod;x
PROV1397;Kinabatagan;x
PROV3582;Semporna;x
PROV3581;Lahad Datu;x
PROV3583;Kelabit;x
sokoto;Yabo;;;;;;;;;;;;
kano;Kano;;;;;;;;;;;;
zinder;Zinder;;;;;;;;;;;;
PROV2355;Ayetoro;;;;;;;;;;;;
PROV2354;Raival;;;;;;;;;;;;
PROV2352;Seigneulles;;;;;;;;;;;;
PROVV2351;Nant;;;;;;;;;;;;
PROV2348;Nouvelle Rochelle;;;;;;;;;;;;
PROV2349;Revens;;;;;;;;;;;;
PROV2350;Millau;;;;;;;;;;;;
PROV2360;Saint Maurice;;;;;;;;;;;;
PROV2359;Labrit;;;;;;;;;;;;
PROV2345;Mimizan;;;;;;;;;;;;
PROV2346;Tartas;;;;;;;;;;;;
PROV2357;Royan;;;;;;;;;;;;
PROV2358;Rochefort;;;;;;;;;;;;
PROV2554;Aytre;;;;;;;;;;;;
PROV2464;Saint Xandre;;;;;;;;;;;;
PROV2465;Les Minimes;;;;;;;;;;;;
PROV2463;La Flotte;;;;;;;;;;;;
PROV2461;Périgny;;;;;;;;;;;;
PROV2466;Forges;;;;;;;;;;;;
PROV2465;Saint Vivien;;;;;;;;;;;;
PROV2462;Fumel;;;;;;;;;;;;
PROV2459;Agen;;;;;;;;;;;;
PROV2359;Boé;;;;;;;;;;;;
PROV2457;Captieux;;;;;;;;;;;;
PROV2455;Thivier;;;;;;;;;;;;
PROV2451;Olivet;;;;;;;;;;;;
PROV2447;Nouvelle Orleans;;;;;;;;;;;; #Rio
PROV2353;Gridy;;;;;;;;;;;;
PROV2381;Ligny;;;;;;;;;;;;
PROV2380;Baule;;;;;;;;;;;;
PROV2465;Sougy;;;;;;;;;;;;
