PROV908;Rudbar;;;;;;;;;;;;;,
PROV901;ar-Raqqa;;;;;;;;;;;;;,
PROV904;Dayr az-Zur;;;;;;;;;;;;;,
PROV921;Meybod;;;;;;;;;;;;;,
PROV924;Amedi;;;;;;;;;;;;;,
PROV925;Kirkuk;;;;;;;;;;;;;,
PROV928;Erbil;;;;;;;;;;;;;,
PROV964;Marand;;;;;;;;;;;;;,
PROV1056;Mosdok;;;;;;;;;;;;;,
PROV1099;Hamamlu;;;;;;;;;;;;;,
PROV1100;Zangezur;;;;;;;;;;;;;,
PROV1109;Maku;;;;;;;;;;;;;,
PROV1110;Khvoy;;;;;;;;;;;;;,
PROV1115;Amol;;;;;;;;;;;;;,
PROV1127;Esfahan;;;;;;;;;;;;;,
PROV1131;Golpeygan;;;;;;;;;;;;;,
PROV1136;Bushehr;;;;;;;;;;;;;,
PROV1138;Bandar-e Kangan;;;;;;;;;;;;;,
PROV1141;Bandar-e Lengeh;;;;;;;;;;;;;,
PROV1144;Faraj;;;;;;;;;;;;;,
PROV1145;Bandar-e Jask;;;;;;;;;;;;;,
PROV1149;Kashmar;;;;;;;;;;;;;,
PROV1150;Quchan;;;;;;;;;;;;;,
PROV1190;Kyzyl-Su;;;;;;;;;;;;;,
PROV1194;Koymat;;;;;;;;;;;;;,
PROV1202;Andijon;;;;;;;;;;;;;,
PROV1204;'Ashqabad;;;;;;;;;;;;;,
PROV1205;Dasht-e Yomud;;;;;;;;;;;;;,
PROV1206;Charjuy;;;;;;;;;;;;;,
PROV1211;Qonduz;;;;;;;;;;;;;,
PROV1214;Zaranj;;;;;;;;;;;;;,
PROV2548;Miyaneh;;;;;;;;;;;;;,
PROV2640;Gwadar;;;;;;;;;;;;;,
PROV2656;Ust Yurt;;;;;;;;;;;;;,
PROV2664;Kumzar;;;;;;;;;;;;;,
PROV3292;Rafsanjan;;;;;;;;;;;;;,
PROV3294;Milan;;;;;;;;;;;;;,
PROV3300;Tadmor;;;;;;;;;;;;;,
PROV3345;Tarsus;;;;;;;;;;;;;,
PROV3348;Mehran;;;;;;;;;;;;;,
PROV3349;Shushtar;;;;;;;;;;;;;,
PROV3350;Behbahan;;;;;;;;;;;;;,
PROV3351;Ahvaz;;;;;;;;;;;;;,
PROV3352;Slemani;;;;;;;;;;;;;,
PROV3353;Orumiyeh;;;;;;;;;;;;;,
PROV3354;Nishapur;;;;;;;;;;;;;,
PROV3355;Farah;;;;;;;;;;;;;,
PROV3356;Anar Dareh;;;;;;;;;;;;;,
PROV3359;Minab;;;;;;;;;;;;;,
PROV3360;Markadah;;;;;;;;;;;;;,
PROV3362;Sis;;;;;;;;;;;;;,
PROV3369;Kerki;;;;;;;;;;;;;,
PROV3385;Ketsh;;;;;;;;;;;;;,
PROV3406;Dasht-e Kavir;;;;;;;;;;;;;,
PROV3404;Yasuj;;;;;;;;;;;;;,
PROV3405;'Ana;;;;;;;;;;;;;,
PROV3407;Hrasdan;;;;;;;;;;;;;,
PROV3429;'Abbasabad;;;;;;;;;;;;;,
PROV3437;Jiroft;;;;;;;;;;;;;,
PROV3441;Lebap;;;;;;;;;;;;;,
PROV3494;Tabas;;;;;;;;;;;;;,
PROV3495;Dozdab;;;;;;;;;;;;;
PROV3496;Turkmensahra;;;;;;;;;;;;;,
PROV3497;Badghis;;;;;;;;;;;;;,
PROV3498;Lashkargah;;;;;;;;;;;;;,
PROV3499;Chagai;;;;;;;;;;;;;,
PROV3500;Qain;;;;;;;;;;;;;,
PROV3501;Mazar-e Sharif;;;;;;;;;;;;;,
PROV3502;Jahrom;;;;;;;;;;;;;,
PROV3503;Darab;;;;;;;;;;;;;,
PROV3504;Laristan;;;;;;;;;;;;;,
PROV3505;Sibi;;;;;;;;;;;;;,
PROV3506;Zhob;;;;;;;;;;;;;,
PROV3507;Dera Ahmad Khan;;;;;;;;;;;;;,
PROV3508;Kohistan;;;;;;;;;;;;;,
PROV3509;Wakhan;;;;;;;;;;;;;,
PROV3510;Sarikol;;;;;;;;;;;;;,
PROV3511;Ayni;;;;;;;;;;;;;,
PROV3512;Gharm;;;;;;;;;;;;;,
PROV3513;Urateppa;;;;;;;;;;;;;,
PROV3514;Namagan;;;;;;;;;;;;;,
PROV3515;Nurota;;;;;;;;;;;;;,
PROV3516;Naryn;;;;;;;;;;;;;,
PROV3517;Firuzkuh;;;;;;;;;;;;;,
PROV3518;Daykundi;;;;;;;;;;;;;,
PROV3519;Soltaniyeh;;;;;;;;;;;;;,
PROV3520;Elbistan;;;;;;;;;;;;;,
PROV3521;Kath;;;;;;;;;;;;;,
PROV3522;Sab Tommaso;;;;;;;;;;;;;,
TUR_3300;Tadmor;;;;;;;;;;;;;,
TUR_3520;Elbistan;;;;;;;;;;;;;,
TUR_893;Bitlis;;;;;;;;;;;;;,
EGY_897;Aleppo;;;;;;;;;;;;;,
TUR_901;ar-Raqqa;;;;;;;;;;;;;,
TUR_923;Shahrizor;;;;;;;;;;;;;,
PER_1127;'Eraq-e Ajami-ye Janubi;;;;;;;;;;;;;,
PER_1122;Kordestan;;;;;;;;;;;;;,
PER_1112;Azarbaijan-e Sharqi;;;;;;;;;;;;;,
PER_1122;Kordestan;;;;;;;;;;;;;,
PER_3500;Qa'inat;;;;;;;;;;;;;,
PER_1148;Khorasan-e Gharbi;;;;;;;;;;;;;,
PER_1144;Bam;;;;;;;;;;;;;,
PER_1140;Yazd va Kerman;;;;;;;;;;;;;,
PER_3353;Azarbayjan-e Gharbi;;;;;;;;;;;;;,
RUS_1090;Kartli-Kakheti;;;;;;;;;;;;;,
PER_935;an-Nefud;;;;;;;;;;;;;,
RUS_1098;Irivan;;;;;;;;;;;;;,
RUS_1102;Shirvan;;;;;;;;;;;;;,
PER_1105;Arran;;;;;;;;;;;;;,
PER_1121;'Eraq-e Ajami-ye Shomali;;;;;;;;;;;;;,
PER_1122;Lorestan;;;;;;;;;;;;;,
PER_1142;Hormuzgan;;;;;;;;;;;;;,
KAL_1221;Kalat;;;;;;;;;;;;;,
PER_1215;Sistan;;;;;;;;;;;;;,
AFG_1212;Khorasan-e Sharqi;;;;;;;;;;;;;,
KHI_1197;Turkistan;;;;;;;;;;;;;,
KHI_1202;Ferghana;;;;;;;;;;;;;,
KHI_1198;Bukhara;;;;;;;;;;;;;,
AFG_1214;Qonduz;;;;;;;;;;;;;,
PER_1213;Hazarajat;;;;;;;;;;;;;,
PER_3504;East Pashtunistan;;;;;;;;;;;;;,
AFG_1209;West Pashtunistan;;;;;;;;;;;;;,
KAL_1221;Kalat;;;;;;;;;;;;;,
PER_1215;Sistan;;;;;;;;;;;;;,
ERI;Irivan;;;;;;;;;;;;;;x;;;;;;;;;;;;;;
ERI_colonial_company;Irivan Khanate;;;;;;;;;;;;;;x;;;;;;;;;;;;;;
ERI_absolute_monarchy;Irivan Khanate;;;;;;;;;;;;x
ERI_theocracy;Irivan Khanate;;;;;;;;;;;;x
ERI_hms_government;Irivan Khanate;;;;;;;;;;;;x
ERI_prussian_constitutionalism;Irivan Khanate;;;;;;;;;;;;x
ERI_ADJ;Irivani;;;;;;;;;;;;;;x;;;;;;;;;;;;;;
UNB;Nakhichevan;;;;;;;;;;;;;;x;;;;;;;;;;;;;;
UNB_colonial_company;Nakhichevan Khanate;;;;;;;;;;;;;;x;;;;;;;;;;;;;;
UNB_absolute_monarchy;Nakhichevan Khanate;;;;;;;;;;;;x
UNB_theocracy;Nakhichevan Khanate;;;;;;;;;;;;x
UNB_hms_government;Nakhichevan Khanate;;;;;;;;;;;;x
UNB_prussian_constitutionalism;Nakhichevan Khanate;;;;;;;;;;;;x
UNB_ADJ;Nakhichevani;;;;;;;;;;;;;;x;;;;;;;;;;;;;;
TAL;Talyshistan;;;;;;;;;;;;;;x;;;;;;;;;;;;;;
TAL_colonial_company;Talysh Khanate;;;;;;;;;;;;;;x;;;;;;;;;;;;;;
TAL_absolute_monarchy;Talysh Khanate;;;;;;;;;;;;x
TAL_theocracy;Talysh Khanate;;;;;;;;;;;;x
TAL_hms_government;Talysh Khanate;;;;;;;;;;;;x
TAL_prussian_constitutionalism;Talysh Khanate;;;;;;;;;;;;x
TAL_ADJ;Talyshi;;;;;;;;;;;;;;x;;;;;;;;;;;;;;
TKM;Turkmenistan;;;;;;;;;;;;;;x;;;;;;;;;;;;;;
TKM_colonial_company;Yomuds;;;;;;;;;;;;;;x;;;;;;;;;;;;;;
TKM_absolute_monarchy;Yomuds;;;;;;;;;;;;x
TKM_theocracy;Yomuds;;;;;;;;;;;;x
TKM_hms_government;Yomuds;;;;;;;;;;;;x
TKM_prussian_constitutionalism;Yomuds;;;;;;;;;;;;x
TKM_ADJ;Yomud;;;;;;;;;;;;;;x;;;;;;;;;;;;;;
NEJ;Nejd;;;;;;;;;;;;;;x;;;;;;;;;;;;;;
NEJ_colonial_company;Nejd;;;;;;;;;;;;;;x;;;;;;;;;;;;;;
NEJ_absolute_monarchy;Diriyah Emirate;;;;;;;;;;;;x
NEJ_theocracy;Diriyah;;;;;;;;;;;;x
NEJ_hms_government;Diriyah Emirate;;;;;;;;;;;;x
NEJ_prussian_constitutionalism;Diriyah Emirate;;;;;;;;;;;;x
NEJ_ADJ;Diriyah;;;;;;;;;;;;;;x;;;;;;;;;;;;;;
growth_of_shiraz;Growth of Shiraz;;;;;;;;;;;;;;x;;;;;;;;;;;;;;
ossetic;Ossetic;;;;;;;;;;;;;;x;;;;;;;;;;;;;;
iraqi;Iraqi;;;;;;;;;;;;;;x;;;;;;;;;;;;;;
turkoman;Turkoman;;;;;;;;;;;;;;x;;;;;;;;;;;;;;
mazanderani;Caspian;;;;;;;;;;;;;;x;;;;;;;;;;;;;;
rise_of_shiraz_title;The Growth of Shiraz;;;;;;;;;;;;;;x;;;;;;;;;;;;;;
rise_of_shiraz_desc;Ever since the Sanjabi rise to power Shiraz has been flourshing and now has definitially established itself as our administrational capital. With further investment even the West will envy Shiraz-e Sharif!;;;;;;;;;;;;;;x;;;;;;;;;;;;;;
state_of_christians_title;The Christians of Iran;;;;;;;;;;;;;;x;;;;;;;;;;;;;;
state_of_christians_desc;The treatment of Christians inside our nation has long been harsh. However, with the rise of a new age in Iranian history, many nationalists have voiced their support to grant Assyrians, Armenians, Ossetians and Georgians equal rights, emphasizing our ancient connections and sahred history. Maybe we should finally give in?;;;;;;;;;;;;;;x;;;;;;;;;;;;;;
safavid_legacy_khorasan_title;Reclaim Khorasan and Balochestan;;;;;;;;;;;;;;x;;;;;;;;;;;;;;
safavid_legacy_khorasan_desc;The regions of Khorasan and Balochestan have been a core part of Safavid Empire and only were lost in the wake of their collapse. The Afghans used this opportunity to liberate themselves from the oppressive Shi'a rule and cemented their control over those regions in the following years. Now, however it is time for us to reclaim these lands, as we are the only rightful successors!;;;;;;;;;;;;;;x;;;;;;;;;;;;;;
safavid_legacy_georgia_title;Reclaim Georgia;;;;;;;;;;;;;;x;;;;;;;;;;;;;;
safavid_legacy_georgia_desc;The Georgians have been a long time vassal of the Safavids and it is only right to reestablish our control and authority over them!;;;;;;;;;;;;;;x;;;;;;;;;;;;;;
safavid_legacy_arm_highlands_title;Reclaim Eastern Anatolia;;;;;;;;;;;;;;x;;;;;;;;;;;;;;
safavid_legacy_arm_highlands_desc;Our Qizilbash brethern have been forcefully sepereted from us by the Ottomans, who, during the anarchy of the Safavid collapse invaded the Highlands. We need to take them back and liberate our brothers in faith!;;;;;;;;;;;;;;x;;;;;;;;;;;;;;
